,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10,rank 11,rank 12,rank 13,rank 14,rank 15,rank 16,rank 17,rank 18,rank 19,rank 20,rank 21,rank 22,rank 23,rank 24,rank 25,rank 26,rank 27,rank 28,rank 29,rank 30,rank 31,rank 32,rank 33,rank 34,rank 35,rank 36,rank 37,rank 38,rank 39,rank 40
3,0.01774074359035585,0.01774074359035585,0.0033831020055677674,0.0033831020055677674,0.0033831020055677674,0.0033831020055677674,0.0033831020055677674,0.0033831020055677674,0.0033831020055677674,0.0030256940314164274,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0005988023952095802,0.0005988023952095802,0.0005988023952095802,0.0005988023952095802,0.0005988023952095802,0.0005988023952095802,0.0005988023952095802
8,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479
11,0.20203256696128621,0.20203256696128621,0.20203256696128621,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.0038308457711442832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892
40971,0.034066407273713295,0.034066407273713295,0.034066407273713295,0.01862476797663487,0.01862476797663487,0.01862476797663487,0.01862476797663487,0.01862476797663487,0.01862476797663487,0.01862476797663487,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563
14,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657
16,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221
22,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344
